,,category,sub-category,trope,definition,
1,1,Character Trait,Evil/Asshole,Big Bad,The character who is the direct cause of all of the bad happenings in a story.,
2,2,Character Trait,Evil/Asshole,Jerkass,A character who is so completely obnoxious that it is unbelievable anyone would willingly interact with them.,
3,3,Character Trait,Evil/Asshole,Faux Affably Evil,A villain whose politeness is an act that only serves to enhance their evil.,
4,4,Character Trait,Evil/Asshole,Smug Snake,A type of character (usually a villain) who tends to treat friends and enemies alike with equal disdain.,
5,5,Character Trait,Evil/Asshole,Abusive Parents,"This includes parents who are emotionally, verbally, physically, or mentally abusive, or who neglectfully allow their children to be abused 
by others if they don't abuse the child themselves",
6,6,Character Trait,Evil/Asshole,Would Hurt a Child,"People that do hurt children, sometimes even kill them.",
7,1,Character Trait,Good at…,Action Girl,An Action Girl is a female badass who is tough and kicks butt.,
8,2,Character Trait,Good at…,Reasonable Authority Figure,"Authirity that is open to heros' inasane ideas.  Often, they'll ask for proof and facts rather than follow baseless accusations, but even then, 
they'll usually humor the heroes and go check out their theories.",
9,3,Character Trait,Good at…,Papa Wolf,"Paternal instinct can transform a Bumbling Dad into an Action Dad. If someone threatens his kids they will soon wish 
they'd never come within a mile of them.",
10,4,Character Trait,Good at…,Deadpan Snarker,"A character prone to gnomic, sarcastic, sometimes bitter, occasionally whimsical asides.",
11,5,Character Trait,Good at…,Determinator,"A character \ good or evil, male or female, young or old \ who never gives up. Ever. No matter what.",
12,6,Character Trait,Good at…,Only Sane Man,"When there is a group of characters who are all just totally weird, either in general or in a particular scenario, the Only Sane Man is the only 
one who, well, isn't.",
13,1,Character Trait,Complicated,Anti-Hero,An antihero is a protagonist who has the opposite of most of the traditional attributes of a hero.,
14,2,Character Trait,Complicated,Asshole Victim,When the victim is a bad guy.,
15,3,Character Trait,Complicated,Jerk with a Heart of Gold,A person you would expect to be a big Jerkass has some redeeming qualities behind their tough demeanor.,
16,4,Character Trait,Complicated,Even Evil Has Standards,"Keep a villain safely on the ""still sympathetic"" side of the Moral Event Horizon; give him something that he simply will not do.",
17,5,Character Trait,Complicated,Affably Evil,"Villains that are not too bad. There is absolutely nothing separating them from being normal, polite people except for the fact that they want 
to take over the world.",
18,1,Character Trait,Poor at…,Too Dumb to Live,People who are so stupid that they simply do not deserve to survive.,
19,2,Character Trait,Poor at…,Butt-Monkey,"The character who is always the butt of the demeaning joke or the ""put them through hell"" plotline.",
20,3,Character Trait,Poor at…,Ax-Crazy,"An ""ax-crazy"" character is someone who is psychologically unstable and presents a clear and immediate danger to others.",
21,4,Character Trait,Poor at…,Adorkable,"An adorkable character might be socially inept, shy or clumsy. However, rather than making them an outcast, these quirks give the character 
an endearing vulnerability.",
22,5,Character Trait,Poor at…,Berserk Button,"Some characters always get enraged when given a certain, minor trigger.",
23,1,Character Trait,Others,Ms. Fanservice,"A female character who provides a significant amount of Fanservice (generally for males), ranging from simple revealing of cleavage, midriff, 
shoulders or legs, to shots of her curves, hips or derriere (even when covered).",
24,2,Character Trait,Others,The Alcoholic,"This person likes their liquor, and in large amounts.",
25,3,Character Trait,Others,Disappeared Dad,The father of a character or characters is missing or absent.,
26,4,Character Trait,Others,Would Hit a Girl,A guy (good or evil) has no problems with violence against women.,
1,1,Role Interaction,Awareness,"Oh, Crap!","The moment at which a character realizes that something really, REALLY bad is about to happen.",
2,2,Role Interaction,Awareness,Driven to Suicide,"Whatever the reason, a character may be driven to commit suicide.",
3,3,Role Interaction,Awareness,Adult Fear,"Things that mature, well-adjusted adults generally are concerned about, as opposed to supernatural fears.",
4,4,Role Interaction,Awareness,Not So Different,"When one character in a pair (who'd otherwise be different and/or unrelated) discovers that they actually have some things in common, more 
than the other character would want to believe.",
5,5,Role Interaction,Awareness,Heroic BSoD,"A stunning revelation or horrible event affects a character or someone they care deeply about, leaving them shocked to the point of mentally
 shutting down for a while.",
6,6,Role Interaction,Awareness,"Big \""NO!\""","The moment when a character realizes that something awful has happened, or notices that something awful is about to happen, and screams 
""NOOOOOOOOOOOOOOO!"" ",
7,1,Role Interaction,Encounter,Eye Scream,"When the creator of a work takes advantage of our Primal Fear of having something utterly horrible happen to our eyes, usually involving the 
invasion of the eye sockets by a foreign body.",
8,2,Role Interaction,Encounter,Gory Discretion Shot,Blood or brains are seen splattering against a wall and the rest is left to the imagination.,
9,3,Role Interaction,Encounter,Impaled with Extreme Prejudice, When someone gets stabbed in a really extreme way..,
10,4,Role Interaction,Encounter,Off with His Head!,When someone is going to get his head chopped off.,
11,5,Role Interaction,Encounter,Disney Villain Death,Villains exit the film by falling off or out of things.,
12,1,Role Interaction,Action-T,Your Cheating Heart,Cheating on your partner.,
13,2,Role Interaction,Action-T,"\""The Reason You Suck\"" Speech",One character delivers a speech to another character on all the reasons why that other character sucks or is a horrible person.,
14,3,Role Interaction,Action-T,Tempting Fate,"Tempting Fate is when a character says something that dares the universe into making things miserable for them, and the universe takes them up 
on the challenge.",
15,4,Role Interaction,Action-T,Disproportionate Retribution,"the situation where a person let the opponent know that if they so much as sneeze on someone you protect, it will cost them a limb.",
16,5,Role Interaction,Action-T,Badass Boast,"The character has got to be pretty impressive to be able to make this kind of boast convincingly, though sometimes a weaker character will 
bluff like this.",
17,6,Role Interaction,Action-T,Groin Attack,Groin attack,
18,7,Role Interaction,Action-T,Roaring Rampage of Revenge,"The Roaring Rampage of Revenge differs from the standard Revenge plot in that our hero dispenses with the Machiavellian plotting that would 
define a classic revenge tale and goes straight for the bloodshed.",Category changed
